Age,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
69,180135,186653,193393,200345,207570,215107,222911,230936,239266,248023,257311,267229,277837,289105,301018,313459,326553,342037,358499,376777,394883,414006,433240,452533,471761,490933,509273,527483,545025,562517,580204,596679,612983,628625,642735,658517,674777,688445,700207,709244,716629,721414,725659,729980,736166,743254,751206
70,169702,175808,182167,188767,195576,202653,210037,217683,225547,233710,242293,251395,261161,271607,282703,294436,306692,319593,334840,351052,369050,386888,405732,424694,443723,462698,481628,499748,517749,535102,552412,569920,586243,602404,617922,631939,647606,663749,677347,689072,698119,705541,710403,714734,719138,725380,732512
71,159580,165271,171204,177416,183863,190516,197430,204646,212118,219805,227784,236175,245123,254724,264993,275903,287441,299495,312185,327175,343116,360810,378358,396899,415565,434306,453004,471667,489546,507316,524460,541567,558876,575029,591030,606408,620318,635854,651862,665378,677057,686107,693562,698500,702917,707405,713702
72,149748,155050,160554,166334,172385,178665,185147,191884,198915,206197,213690,221466,229701,238482,247903,257981,268689,280014,291849,304310,319022,334669,352035,369268,387480,405823,424251,442645,461017,478630,496147,513058,529941,547030,562993,578815,594034,607821,623208,639064,652482,664104,673149,680633,685645,690148,694719
73,140207,145125,150228,155572,161185,167061,173159,179455,185999,192827,199902,207181,214796,222861,231461,240687,250557,261046,272141,283739,295951,310362,325690,342702,359593,377448,395441,413527,431591,449644,466967,484204,500858,517494,534338,550090,565712,580752,594398,609617,625301,638605,650157,659188,666694,671778,676365
74,130946,135500,140207,145144,150315,155746,161432,167332,173425,179758,186367,193214,200325,207765,215646,224050,233066,242712,252963,263808,275150,287093,301179,316162,332790,349312,366781,384394,402109,419813,437518,454522,471452,487825,504186,520760,536277,551676,566515,580001,595030,610520,623692,635159,644166,651685,656838
75,121927,126166,130497,135032,139790,144773,150007,155486,161173,167045,173149,179519,186189,193118,200370,208052,216244,225032,234436,244431,255007,266071,277723,291457,306070,322284,338407,355458,372660,389973,407286,424611,441267,457860,473923,489982,506258,521515,536665,551279,564584,579398,594669,607690,619054,628026,635549
76,113123,117087,121094,125251,129604,134171,138954,143979,149238,154698,160335,166195,172382,178863,185597,192647,200116,208082,216627,225771,235492,245781,256547,267887,281246,295463,311235,326930,343534,360296,377176,394068,410984,427263,443492,459217,474947,490898,505869,520746,535111,548214,562790,577817,590667,601912,610835
77,104568,108240,111966,115798,119773,123936,128304,132879,137685,142714,147937,153329,159005,164998,171279,177806,184642,191885,199611,207899,216768,226198,236181,246631,257642,270602,284399,299704,314945,331075,347368,363788,380231,396710,412585,428423,443784,459161,474760,489421,504001,518095,530975,545290,560051,572710,583819
78,96335,99661,103091,106640,110290,114076,118041,122202,126560,131138,135929,140905,146110,151592,157382,163451,169759,176369,183373,190845,198860,207439,216560,226221,236336,246998,259537,272890,287701,302462,318090,333887,349817,365783,381796,397240,412659,427629,442625,457847,472173,486431,500230,512865,526894,541365,553811
79,88451,91420,94506,97759,101125,104586,108177,111936,115883,120016,124357,128902,133689,138698,143975,149551,155395,161474,167845,174596,181799,189527,197799,206596,215915,225677,235970,248066,260950,275240,289494,304592,319863,335274,350734,366251,381235,396205,410757,425344,440159,454124,468033,481511,493877,507594,521748
80,81178,83546,86279,89193,92263,95439,98705,102095,105643,109368,113270,117367,121723,126312,131115,136177,141527,147135,152972,159091,165576,172496,179922,187870,196326,205285,214675,224579,236207,248598,262340,276060,290598,305314,320175,335099,350089,364581,379074,393177,407326,421704,435278,448810,461938,474010,487387
81,74274,76287,78441,81007,83742,86625,89608,92674,95857,99188,102686,106350,110261,114419,118800,123387,128224,133337,138698,144280,150134,156340,162963,170071,177680,185777,194358,203357,212850,223989,235861,249028,262186,276134,290265,304546,318903,333333,347304,361288,374912,388591,402500,415653,428778,441526,453276
